Id,FileName,Title,Camera,Lens,ExposureTime,AperturValue,ExposureProgram,Iso,DateTaken,FocalLength,Orientation,Height,Width,UseInMontage,CountryId,CategoryId,PaletteId
391,IMG_9687.jpg,,Canon EOS 40D,,1/400 sec,f/6.3,Aperture priority,800,2011-07-07 12:20:39,360 mm,1,1512,1008,True,,,
392,IMG_9690.jpg,,Canon EOS 40D,EF17-40mm f/4L USM,1/60 sec,f/16.0,Aperture priority,200,2009-03-12 14:41:40,22 mm,0,1000,1500,True,,,
393,IMG_9712 (2).jpg,,Canon EOS 40D,,1/2000 sec,f/6.3,Aperture priority,800,2011-07-07 12:50:12,360 mm,0,1008,1512,True,,,
394,IMG_9714.jpg,,Canon EOS 40D,EF70-300mm f/4.5-5.6 DO IS USM,1/30 sec,f/6.3,Aperture priority,800,2009-03-12 18:31:28,115 mm,0,1000,1500,True,,,
396,IMG_9782.jpg,,Canon EOS 40D,,1/400 sec,f/6.3,Aperture priority,200,2008-04-12 14:17:06,400 mm,0,1008,1512,True,,,
397,IMG_9788.jpg,,Canon EOS 40D,,1/1250 sec,f/6.3,Aperture priority,400,2011-07-10 11:26:21,360 mm,1,1512,1008,True,,,
398,IMG_9802.jpg,,Canon EOS 40D,,2.5 sec,f/16.0,Aperture priority,100,2007-10-14 10:25:11,100 mm,0,1008,1512,True,,,
399,IMG_9834.jpg,,Canon EOS 40D,,1/250 sec,f/5.6,Aperture priority,200,2009-11-17 14:21:48,340 mm,0,1008,1512,True,,,
400,IMG_9842.jpg,,Canon EOS 40D,,2.5 sec,f/11.0,Aperture priority,100,2007-10-14 12:38:38,100 mm,0,1008,1512,True,,,
401,IMG_9849.jpg,,Canon EOS 40D,,1/320 sec,f/6.3,Aperture priority,400,2008-04-17 19:09:40,195 mm,1,1512,1008,True,,,
402,IMG_9851.jpg,,Canon EOS 40D,,1/40 sec,f/7.1,Aperture priority,800,2007-10-20 10:14:45,400 mm,0,1008,1512,True,,,
403,IMG_9857.jpg,,Canon EOS 40D,,1/400 sec,f/6.3,Aperture priority,800,2007-10-20 10:28:37,275 mm,2,1500,1500,True,,,
404,IMG_9874.jpg,,Canon EOS 40D,,1/2000 sec,f/14.0,Aperture priority,400,2009-03-17 08:12:52,70 mm,0,1000,1500,True,,,
405,IMG_9887.jpg,,Canon EOS 40D,,0.01 sec,f/5.6,Aperture priority,200,2011-04-02 17:22:04,340 mm,0,1008,1512,True,,,
406,IMG_9901.jpg,,Canon EOS 40D,,1/4000 sec,f/6.3,Aperture priority,400,2009-03-17 09:09:52,300 mm,0,1000,1500,True,,,
407,IMG_9928.jpg,,Canon EOS 40D,,1/320 sec,f/6.3,Aperture priority,100,2009-06-29 14:26:55,340 mm,0,1008,1512,True,,,
